Model,Accuracy,Precision,Recall,F1 Score,CV_F1_Mean,CV_F1_Std
Logistic Regression,0.27211501552849215,0.08519350925507177,0.27211501552849215,0.12580631606831036,0.12576613279130266,0.0002921706046436779
Decision Tree,0.27211501552849215,0.08519350925507177,0.27211501552849215,0.12580631606831036,0.12583146449258778,0.00027503638617133947
Random Forest,0.27211501552849215,0.08519350925507177,0.27211501552849215,0.12580631606831036,0.12579845308915188,0.0002596291569915816
XGBoost,0.8070279512858988,0.847466597289498,0.8070279512858988,0.7579068552114876,0.7598349584684814,0.0014239552040295385
Neural Network (MLP),0.8067138918937782,0.8472704398443942,0.8067138918937782,0.757163542436284,0.7597643409696727,0.001460075886492155
